Žadatel,IČ žadatele,Název NUTS
"Českomoravská záruční a rozvojová banka, a.s.",44848943,Praha 1
Česká agentura na podporu obchodu/CzechTrade,00001171,Praha 2
OBEC KOSTELEC U HOLEŠOVA,00287342,Kostelec u Holešova
OBEC CHOMÝŽ,00287237,Chomýž
OBEC RŮŽOVÁ,00556017,Růžová
OBEC VELKÁ BUKOVINA,00555886,Velká Bukovina
Obec Sobíšky,00636576,Sobíšky
OBEC HRACHOLUSKY,00250431,Hracholusky
OBEC JÁMY,00842133,Jámy
OBEC PAVLOV,00544418,Pavlov
Obec Býškovice,00636134,Býškovice
MĚSTO HABRY,00267422,Habry
"základní škola a Mateřská škola Mladá Boleslav, Jilemnického 1152, příspěvková organizace",75034034,Mladá Boleslav
"Základní škola Jaroslava Pešaty, Duchcov, J. Pešaty1313, okres Teplice",62787209,Duchcov
"Základní škola Novosedlice, okres Teplice",70943788,Novosedlice
"Základní škola a Mateřská škola Hrádek, okres Rokycany, příspěvková organizace",75006120,Hrádek
Základní škola Velké Přílepy okres Praha - západ,70988129,Velké Přílepy
"Základní škola Rosice,příspěvková organizace",70876843,Rosice
Odborné učiliště Kanina,03620841,Kanina
"Střední pedagogická škola a Stření zdravotnická škola, Krnov, příspěvková organizace",00601292,Krnov
Střední škola VIZE,71341285,Jiřice
"Základní škola, Kladno, Pařížská 2249",71294996,Kladno
"Základní škola Dubí 2, Tovární 110,  okres Teplice,  příspěvková organizace",72743123,Dubí
"Základní škola T.G.Masaryka Náchod, Bartoňova 1005",00857611,Náchod
"Základní škola Náměšť na Hané, okres Olomouc",45238685,Náměšť na Hané
"Základní škola a Mateřská škola Staňkovice, okres Louny",62247832,Staňkovice
Základní škola T. G. Masaryka Milovice,61631493,Milovice
"Střední odborná škola a Střední zdravotnická škola Benešov, příspěvková organizace",61664715,Benešov
"Základní škola a Mateřská škola Staré Křečany, okres Děčín, příspěvková organizace",72744375,Staré Křečany
"Mateřská škola a Základní škola pro tělesně postižené Brno, Kociánka, příspěvková organizace",62157396,Brno-Královo Pole
"Základní škola a Mateřská škola Nový Jičín, Jubilejní 3, příspěvková organizace",45214859,Nový Jičín
"Základní škola a mateřská škola Husinec - Řež, okres Praha - východ",70991073,Husinec
"Základní škola, Mateřská škola speciální a Praktická škola Jesenice, Plzeňská 63",47013711,Jesenice
"Integrovaná střední škola, Rakovník",47019450,Rakovník
"Střední odborná škola stavební a Střední odborné učiliště stavební Kolín, Kolín II, Pražská 112",00177032,Kolín
Základní škola T. G. Masaryka Mnichovice okres Praha - východ,70992398,Mnichovice
"Střední zdravotnická škola a Vyšší odborná škola zdravotnická České Budějovice, Husova 3",00582239,České Budějovice
"Zákadní škola a mateřská škola Brno, Husova 17, 602 00 Brno, příspěvková organizace",60556188,Brno-střed
"Základní škola Opava, Edvarda Beneše 2, příspěvková organizace",70999279,Opava (nečleněná část města)
"Polské gymnázium Polskie Gimnazjum im.Juliusza Słowackiego, Český Těšín, příspěvková organizace",62331493,Český Těšín
"Základní škola Teplýšovice, okres Benešov",70992118,Teplýšovice
Základní škola Montessori Plzeň,02551217,Plzeň 1
SOŠ a SOU Hořovice,47558504,Hořovice
Základní škola a Mateřská škola Kájov,75001101,Kájov
Základní škola a Mateřská škola Dříteň,75000024,Dříteň
Základní škola Městec Králové,49539965,Městec Králové
"Základní škola a Mateřská škola pro sluchově postižené, Plzeň, Mohylová",49778153,Plzeň 4
"Základní škola, Brno, Bosonožská 9, příspěvková organizace",62156543,Brno-Starý Lískovec
"Masarykova základní škola Litoměřice, Svojsíkova 5",46773436,Litoměřice
"Základní škola sgt. J. C. Kluttze a Mateřská škola Kovářská, okres Chomutov",47795638,Kovářská
"Mateřská škola, Základní škola a Praktická škola, Znojmo, příspěvková organizace",67011748,Znojmo
STŘEDNÍ ZDRAVOTNICKÁ ŠKOLA A VYŠŠÍ ODBORNÁ ŠKOLA ZDRAVOTNIC­KÁ ZLÍN,00226319,Zlín
"Gymnázium Židlochovice, příspěvková organizace",49459171,Židlochovice
1.Základní  škola Holešov,70879389,Holešov
"Sportovní gymnázium Dany a Emila Zátopkových Ostrava, příspěvková organizace",00602060,Ostrava-Jih
