Žadatel,Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje)
Techmania Science Center o.p.s.,571.90001401
Kanonie premonstrátů Teplá,496.98366383999996
Římskokatolická farnost Velehrad,407.67244998
"IQLANDIA, o.p.s.",406.79435775
Federace židovských obcí v České republice,284.80919336
"Energeia, o.p.s.",254.27122
"Člověk v tísni, o.p.s.",244.38262243999998
Benediktinské opatství sv. Václava v Broumově,195.607654
"Muzeum a společenské centrum Dobrovice, o.p.s.",162.95215238
"Centrála cestovního ruchu Východní Moravy, o.p.s.",135.85384266
Diecézní charita Brno,130.29004014
OSTROV ZDRAVÍ o.p.s.,127.94485743
",, Nadace Josefa Viewegha Sklářská huť František """,127.051259
Oblastní charita Červený Kostelec,94.51510223999999
"Nadace Partnerství (v mezinárodním styku ""Czech Environmental Partnership Foundation - CEPF)",91.59897619
"Vyšší odborná škola DAKOL a Střední škola DAKOL, o.p.s.",84.97533947
Benediktinské arciopatství sv. Vojtěcha a sv. Markéty v Praze - Břevnově,76.1958518
ČISTÁ PŘÍRODA VÝCHODNÍCH ČECH o.p.s.,69.61656201000001
bfz o.p.s.,65.98164713
"Attavena, o.p.s.",61.50887243
"Kvalifikační a personální agentura, o. p. s.",60.31038471
"Zámek Nový Světlov Bojkovice, o.p.s.",59.669152
Oblastní charita Most,57.66413714
Královéhradecká labská o.p.s.,56.463270630000004
"Vysoká škola finanční a správní, o.p.s.",52.03345257
Charita Olomouc,51.39532457
"Renarkon, o. p. s.",51.29251160000001
"Slavonická renesanční, obecně prospěšná společnost",51.10750381999999
"Baculus, o.p.s.",50.5024878
Diecézní Charita Plzeň,48.30249379999999
"Vysoká škola evropských a regionálních studií, o.p.s.",45.101340660000005
Nadace Tomistoma,44.44541022
"Národní vzdělávací fond, o.p.s.",44.43210431
Obecně prospěšná společnost Důstojnost,44.42708193
Slezská diakonie,43.92553299
"Šumárník, o.p.s.",43.38147285
Kanonie premonstrátů v Želivě,43.181466549999996
"Krajské centrum dalšího profesního vzdělávání a Centrum uznávání a celoživotního učení Zlínského kraje, o.p.s.",41.3727141
Římskokatolická farnost - děkanství Polná,41.1931016
"Centrum pro integraci osob se zdravotním postižením Královehradeckého kraje, o.p.s.",40.665330579999996
Salesiánská provincie Praha,40.20703469
"Základní škola pro žáky se specifickými poruchami učení a mateřská škola logopedická  Schola - Viva, o.p.s.",39.813327990000005
Revitalizace KUKS o.p.s.,39.42311287
DŮM ROMSKÉ KULTURY o.p.s.,39.00252466
CMC Graduate School of Business o.p.s.,38.66750619
Diakonie ČCE - středisko v Myslibořicích,38.33894178
"Magdaléna, o.p.s.",37.24289194999999
VŠEI o.p.s.,35.65516463
"SEDUKON,  o.p.s.",35.06162427
Benediktinské opatství Rajhrad,34.54304175
Biskupství plzeňské,34.37783757
Ekocentrum Oldřichov v Hájích o.p.s.,33.40589941
Římskokatolická farnost Ostrava - Moravská Ostrava,33.3489715
"Erudis, o.p.s.",32.60541052000001
Nadační fond Campianus,32.337100039999996
Modrý klíč o.p.s.,32.179335280000004
Diakonie ČCE - středisko Vsetín,31.84914578
"Moravská vysoká škola Olomouc, o.p.s.",31.54921095
Diakonie Českobratrské církve evangelické,31.36180383
Azylový dům pro ženy a matky s dětmi o.p.s.,31.2931956
Charita Prostějov,31.07752524
Farní charita Starý Knín,30.933511420000002
"Naučné středisko ekologické výchovy Kladno - Čabárna, o.p.s.",30.614256150000003
Centrum podpory podnikání Praha,29.049788259999996
"Stanice Pavlov, o.p.s.",28.89820457
"Naděje - M, o.p.s.",28.33244926
"ZOOPARK STĚŽERY, o.p.s.",28.29775842
"Chaloupky o.p.s., školská zařízení pro zájmové a další vzdělávání",27.182299399999998
Charita Frýdek - Místek,25.975623600000002
Arcibiskupství olomoucké,25.890241
"Nová škola, o.p.s.",25.73986743
"Vyšší odborná škola, Obchodní akademie, Střední odborná škola a Jazyková škola s právem státní jazykové zkoušky EKONOM, o.p.s., Litoměřice, Palackého 730/1",25.643394190000002
"Jablonecké kulturní a informační centrum, o.p.s.",25.412277829999997
"Sluňákov - centrum ekologických aktivit města Olomouce, o.p.s.",25.19096218
"Polovina nebe, o.p.s.",24.62591169
"Akademie HK PK, o.p.s.",24.560518759999997
REVITA CZ o.p.s.,24.370878589999997
"HUMANITAS-PROFES, o.p.s.",24.24363966
"Gender studies, o.p.s.",23.653721979999997
"Park Rochus, o.p.s.",23.58806516
Nadační fond Vincenze Priessnitze,23.47498331
"PORG - gymnázium a základní škola, o.p.s.",23.47001822
Farní charita Beroun,23.045238100000002
"Základní škola a Praktická škola SVÍTÁNÍ, o.p.s.",23.038395870000002
"Vysoká škola zdravotnická, o.p.s.",22.62313043
"BRAILCOM,o.p.s.",22.439101
Občanské sdružení MARTIN při OU pro žáky s více vadami,22.29821162
Nadační fond Muzeum Rabštejn nad Střelou,22.243284510000002
"Centrum pro rozvoj a podporu regionů, o.p.s.",22.23159489
Římskokatolická farnost Frýdek,21.99667321
"APPN, o.p.s.",21.80287658
Oblastní charita Uherské Hradiště,21.39027595
"Římskokatolická farnost - děkanství u kostela sv. Mikuláše, České Budějovice 1",21.355193420000003
"Střední škola a Mateřská škola, o.p.s.",21.34020645
Kudlovské ateliéry o.p.s.,21.16370093
A Kluby České republiky o.p.s.,21.09312642
Rozlet o.p.s.,21.02926571
"VZDĚLÁVACÍ CENTRUM TURNOV, o.p.s.",21.01464404
"IREAS, Institut pro strukturální politiku, o.p.s.",20.993929870000006
"Lázeňská kolonáda Luhačovice, o.p.s.",20.02542112
"Tichý svět - chráněná pracoviště, o.p.s.",19.89252454
Oblastní charita Kutná Hora,19.47544059
OMNI TEMPORE o.p.s.,19.20016386
Římskokatolická farnost Veselí nad Lužnicí,19.13333182
"Vzdělávací institut ochrany dětí, o.p.s.",19.1198755
Diakonie ČCE - středisko BETLÉM,18.96331676
Centrum pro rodinu a sociální péči,18.788490149999998
"Sdružení Podané ruce, o.s.",18.74894647
Židovská obec Brno,18.547574280000003
Linea verde o.p.s.,18.38014162
GLE o.p.s.,17.98070624
Středisko křesťanské pomoci Plzeň,17.96410543
Opatství Nový Dvůr,17.727714489999997
"Centrum podpory transformace, o.p.s.",17.611563770000004
"Společnost pro Jizerské hory, o.p.s.",17.578335869999997
Římskokatolická farnost Dolní Dobrouč,17.56475738
Základní škola Bernarda Bolzana obecně prospěšná společnost,17.54949259
Královská kanonie premonstrátů na Strahově,17.397654969999998
"Gymnázium Rájec-Jestřebí, obecně prospěšná společnost",17.38465455
"VALDEK, o.p.s.",17.112798379999997
"Praktická škola Chotěšice, o.p.s.",17.0625987
"Partnerství,o.p.s.",16.920601440000002
Diecézní charita ostravsko-opavská,16.89922568
NADACE ARDEA,16.80438473
Římskokatolická farnost Jablunkov,16.71423555
"Helpion, o.p.s.",16.70843191
"MCU KOLOSEUM, o.p.s.",16.43781054
Římskokatolická farnost Klatovy,16.43219829
České Švýcarsko o.p.s.,16.38134015
"Vysoká škola sociálně správní, Institut celoživotního vzdělávání Havířov o.p.s.",16.13890241
"META, o.p.s. - Společnost pro příležitosti mladých migrantů",15.430752799999999
Jihočeská agentura pro podporu inovačního podnikání o.p.s.,15.22661808
Římskokatolická farnost Karviná,15.22261007
"Zlatý pruh Polabí,o.p.s.",15.21034797
Diakonie ČCE - středisko Západní Čechy,15.10204224
Římskokatolická farnost Žihobce,14.933265449999999
Aktivně životem o.p.s.,14.90647555
Diakonie ČCE - středisko v Brně,14.72741463
"SPOLEČNOST TADY A TEĎ, o.p.s.",14.64164995
"PROJEKT INTEGRACE, o.p.s.",14.55341905
"Ústav pro ekopolitiku, o.p.s.",14.501647799999997
Oblastní charita Havlíčkův Brod,14.28631141
"Metropolitní univerzita Praha, o.p.s.",14.239762769999999
"""Obnova biotopu rybníků v Čechách a na Moravě, o.p.s.""",14.109106220000001
"Step by Step Česká republika, občanské sdružení",14.09326208
Farní charita Litoměřice,14.00095241
Biskupství litoměřické,13.777816
"Startujeme, o.p.s.",13.754340599999999
"Trenkwalder, o.p.s.",13.592489530000002
České sdružení Církve adventistů sedmého dne,13.582226460000001
Diakonie ČCE - Středisko křesťanské pomoci v Litoměřicích,13.473182849999999
Římskokatolická farnost Prachatice,13.26027478
Farní charita Kralupy nad Vltavou,13.18488947
"JURTA, o.p.s.",12.951355849999999
"Mateřská škola - Liberecká jazyková školka, o.p.s.",12.92825425
"Římskokatolická farnost u kostela sv. Jana Nepomuckého, České Budějovice 1",12.88975988
"Nová ekonomika, o.p.s.",12.814919
"IdeaHELP, o.p.s.",12.80828784
"Regionální rozvojová agentura Plzeňského kraje, obecně prospěšná společnost",12.61005759
"Vzdělávací a rekreační centrum Lesná, o.p.s.",12.608988879999998
Římskokatolická farnost - arciděkanství Nepomuk,12.583720210000001
"P3 - People, Planet, Profit, o.p.s.",12.570762440000001
"Centrum Paraple, o.p.s.",12.539023649999999
Vítej ... o.p.s.,12.517865890000001
MAS Sokolovsko o.p.s.,12.20696078
LIGA o. p. s.,11.996859940000002
"Centrum sociálních služeb Ostrava, o.p.s.",11.995797149999998
"Základní škola Sedmikráska, o.p.s.",11.985075559999999
Charita Ostrava,11.94334025
"Horská služba ČR, o.p.s.",11.828259440000002
"Koordinační a informační středisko pro osoby se zdravotním postižením a seniory, o.p.s.",11.629456100000002
Český západ o.p.s.,11.588071289999998
"MUZEJNÍ SPOLEK ROLLEDER-ODRY, o.p.s.",11.536044969999999
"Klub K2, o.p.s.",11.441625460000001
CEDR Pardubice o.p.s.,11.41511464
TECHNOLOGICKÉ CENTRUM Hradec Králové o.p.s.,11.36249952
Jihočeská rozvojová o.p.s.,11.347938460000002
"Středisko prevence a léčby drogových závislostí - DROP IN, o.p.s.",11.34047225
CENTRUM celoživotního vzdělávání Jezerka o.p.s.,11.27498492
Romodrom o.p.s.,11.253424039999999
THEIA - OBČANSKÉ SDRUŽENÍ,11.17454611
Středisko křesťanské pomoci Horní Počernice,11.14958729
"Respekt institut, o.p.s.",11.118827099999999
"VOLONTÉ CZECH, o.p.s.",11.02993119
"Králický Sněžník, o.p.s.",11.01909607
Rytmus o.s.,10.97705734
