,Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje),Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje)
veřejná instituce,False,True
Číslo a název programu,,
CZ.1.01 OP Doprava,198.1,191090.5
CZ.1.02 OP Životní prostředí,20809.5,119224.1
CZ.1.03 OP Podnikání a inovace,83765.9,3403.3
CZ.1.04 OP Lidské zdroje a zaměstnanost,15346.1,40853.6
CZ.1.05 OP Výzkum a vývoj pro inovace,4631.9,50119.7
CZ.1.06 Integrovaný operační program,5483.1,39111.9
CZ.1.07 OP Vzdělávání pro konkurenceschopnost,9282.3,41291.8
CZ.1.08 OP Technická pomoc,106.5,3980.3
CZ.1.09 ROP NUTS II Severozápad,1873.1,19759.8
CZ.1.10 ROP NUTS II Moravskoslezsko,1766.8,20866.1
CZ.1.11 ROP NUTS II Jihovýchod,2061.1,20891.7
CZ.1.12 ROP NUTS II Střední Morava,2586.0,18645.5
CZ.1.13 ROP NUTS II Severovýchod,2804.4,18827.8
CZ.1.14 ROP Jihozápad,1948.4,18431.9
CZ.1.15 ROP NUTS II Střední Čechy,1252.6,17304.8
CZ.1.25 OP Rybářství,543.9,207.2
CZ.2.16 OP Praha Konkurenceschopnost,929.5,6262.2
CZ.2.17 OP Praha Adaptibilita,1800.9,1292.0
CZ.3.22 OP ČR - Polsko,93.1,518.9
