IČO,Žadatel,Název,Celkové zdroje,Smlouva,Proplaceno
00551023,Ministerstvo práce a sociálních věcí,Vzdělávejte se pro růst! - pracovní příležitosti,12.0,10.2,9.02
65993390,Ředitelství silnic a dálnic ČR,Dálnice D3 Tábor-Veselí nad Lužnicí,14.4,8.83,8.42
00005886,"Dopravní podnik hl.m. Prahy ,akciová společnost",PRODLOUŽENÍ TRASY A METRA V PRAZE - PROVOZNÍ ÚSEK V.A DEJVICKÁ (MIMO) - MOTOL,20.5,8.15,8.13
65993390,Ředitelství silnic a dálnic ČR,Rychlostní silnice R6 - úsek Jenišov - Kamenný Dvůr,10.99,7.0,6.99
65993390,Ředitelství silnic a dálnic ČR,"Dálnice D1,stavba 0135 Kroměříž východ - Říkovice a Rychlostní silnice R55,stavba 5503 Skalka-Hulín",11.41,6.26,5.74
68378271,"Fyzikální ústav AV ČR, v. v. i.",ELI: EXTREME LIGHT INFRASTRUCTURE,6.0,4.77,4.75
65993390,Ředitelství silnic a dálnic ČR,R7 MÚK Vysočany - MÚK Droužkovice - MÚK Nové Spořice,5.47,4.46,4.42
00216224,Masarykova univerzita,CEITEC - středoevropský technologický institut,6.63,4.35,4.35
65993390,Ředitelství silnic a dálnic ČR,"Silnice I/11 Mokré Lazce - hranice okresů Opava, Ostrava",5.09,4.07,3.65
70994234,"Správa železniční dopravní cesty, státní organizace",Modernizace tratě Votice - Benešov u Prahy,6.1,3.9,3.89
70994234,"Správa železniční dopravní cesty, státní organizace",Optimalizace trati st.hr.SR-Mosty u Jablunkova - Bystřice n. Olší,5.76,3.88,3.92
65993390,Ředitelství silnic a dálnic ČR,Silniční okruh kolem Prahy - Stavba 513: Lahovice - Vestec,9.6,3.8,3.37
44848943,"Českomoravská záruční a rozvojová banka, a.s.",Záruka,4.4,3.74,3.7
70994234,"Správa železniční dopravní cesty, státní organizace",Modernizace trati Rokycany - Plzeň,6.05,3.42,1.6
70994234,"Správa železniční dopravní cesty, státní organizace",Optimalizace trati Beroun - Zbiroh,4.64,3.25,3.26
70994234,"Správa železniční dopravní cesty, státní organizace",Optimalizace trati Zbiroh - Rokycany,4.38,2.89,2.89
70994234,"Správa železniční dopravní cesty, státní organizace","Rekonstrukce žst. Přerov, 1.stavba",3.75,2.77,2.77
70994234,"Správa železniční dopravní cesty, státní organizace",Optimalizace trati Planá u M.L. (mimo) - Cheb (mimo),4.05,2.68,2.71
00551023,Ministerstvo práce a sociálních věcí,Vzdělávejte se pro růst! - Veřejně prospěšné práce,3.1,2.63,2.52
65993390,Ředitelství silnic a dálnic ČR,Rychlostní silnice R48 Rychaltice - Frýdek-Místek,3.7,2.62,2.3
70994234,"Správa železniční dopravní cesty, státní organizace",Optimalizace trati Benešov u Prahy - Strančice,4.04,2.6,2.61
70994234,"Správa železniční dopravní cesty, státní organizace",Optimalizace tratě Stříbro - Planá u Mariánských Lázní,4.49,2.58,2.55
65993390,Ředitelství silnic a dálnic ČR,Silniční okruh kolem Prahy - Stavba 512: dálnice D1 - Vestec,8.35,2.2,2.06
65993390,Ředitelství silnic a dálnic ČR,"Silnice I/38 Kolín, obchvat",2.77,2.15,2.2
00551023,Ministerstvo práce a sociálních věcí,Vzdělávejte se!,2.5,2.12,1.2
68378050,"Ústav molekulární genetiky AV ČR, v. v. i.",Biotechnologické a biomedicínské centrum Akademie věd a Univerzity Karlovy,2.85,1.96,1.93
44848943,"Českomoravská záruční a rozvojová banka, a.s.",Progres,3.82,1.95,1.74
70994234,"Správa železniční dopravní cesty, státní organizace",Optimalizace trati Bystřice nad Olší - Český Těšín,2.79,1.94,1.95
70994234,"Správa železniční dopravní cesty, státní organizace","Modernizace trati Veselí nad Lužnicí - Tábor, 1. část, úsek Doubí u Tábora - Tábor",3.03,1.83,1.83
65993390,Ředitelství silnic a dálnic ČR,Silnice I/35 Bílý Kostel - Hrádek nad Nisou,2.25,1.82,1.79
00159816,Fakultní nemocnice u sv. Anny v Brně,Fakultní nemocnice u sv. Anny v Brně - Mezinárodní centrum klinického výzkumu (FNUSA - ICRC),4.4,1.79,1.71
65993390,Ředitelství silnic a dálnic ČR,Rychlostní silnice R6 Lubenec - Bošov,2.11,1.69,1.33
26722445,Centrum výzkumu Řež s.r.o.,UDRŽITELNÁ ENERGETIKA,2.21,1.65,1.61
70994234,"Správa železniční dopravní cesty, státní organizace","Rekonstrukce železničního uzlu Břeclav, 1. stavba",2.54,1.62,1.79
70994234,"Správa železniční dopravní cesty, státní organizace",Modernizace traťového úseku Praha Běchovice - Úvaly,2.21,1.57,1.08
00551023,Ministerstvo práce a sociálních věcí,Společensky účelná pracovní místa,1.81,1.54,1.46
65993390,Ředitelství silnic a dálnic ČR,D35 MÚK Opatovice - Časy - Ostrov,1.93,1.46,1.46
00007536,"Palivový kombinát Ústí, státní podnik","Odstranění starých ekologických zátěží po těžbě ropy v prostoru jímacího území Moravská Nová Ves, CHOPAV Kvartér řeky Moravy",2.07,1.39,1.32
70994234,"Správa železniční dopravní cesty, státní organizace","Uzel Plzeň, 1. stavba - přestavba pražského zhlaví",2.16,1.34,0.85
70994234,"Správa železniční dopravní cesty, státní organizace",Rekonstrukce žst. Olomouc,1.83,1.33,1.27
65993390,Ředitelství silnic a dálnic ČR,Silnice I/37 Březhrad - Opatovice,1.61,1.28,1.27
61989100,Vysoká škola báňská - Technická univerzita Ostrava,Centrum excelence IT4Innovations,2.08,1.25,1.23
70994234,"Správa železniční dopravní cesty, státní organizace",Revitalizace trati České Budějovice - Volary,1.63,1.24,1.11
00007064,Ministerstvo vnitra,Připravenost Hasičského záchranného sboru České republiky k řešení povodní,1.42,1.21,1.2
70994234,"Správa železniční dopravní cesty, státní organizace",Modernizace trati Tábor - Sudoměřice u Tábora,1.93,1.2,1.14
65993390,Ředitelství silnic a dálnic ČR,Silnice I/11 Nebory - Oldřichovice - Bystřice,1.91,1.19,1.07
70994234,"Správa železniční dopravní cesty, státní organizace","Elektrizace trati včetně PEÚ Letohrad-Lichkov st.hr., 1. stavba Letohrad (mimo) - Lichkov st. hr.",1.61,1.19,1.19
65993390,Ředitelství silnic a dálnic ČR,Silnice I/58 Příbor - obchvat,1.49,1.17,1.17
47674954,"Vodohospodářská zařízení Šumperk, a.s.",Zlepšení kvality vod horního povodí řeky Moravy - II. fáze,1.97,1.13,1.1
70994234,"Správa železniční dopravní cesty, státní organizace","Modernizace trati Ševětín - Veselí nad Lužnicí - II. část, úsek Horusice - Veselí nad Lužnicí",1.61,1.09,1.05
70994234,"Správa železniční dopravní cesty, státní organizace",Elektrizace trati Zábřeh-Šumperk,1.45,1.08,1.08
65993390,Ředitelství silnic a dálnic ČR,Silnice I/38 Moravské Budějovice - obchvat,1.3,1.06,1.06
65993390,Ředitelství silnic a dálnic ČR,"Silnice I/38 Nymburk, přeložka II. a III. stavba",1.31,1.04,0.95
00551023,Ministerstvo práce a sociálních věcí,Poradenské činnosti a rekvalifikace podporující zvýšení zaměstnatelnosti,1.2,1.02,0.83
65993390,Ředitelství silnic a dálnic ČR,Silnice I/44 Vlachov - Rájec,1.23,1.01,0.92
65993390,Ředitelství silnic a dálnic ČR,Rychlostní silnice R4 Mirotice - Třebkov,1.22,1.0,0.98
70994234,"Správa železniční dopravní cesty, státní organizace","Optimalizace trati Bystřice nad Olší - Český Těšín, 2. část - žst. Český Těšín",1.33,0.98,0.94
65993390,Ředitelství silnic a dálnic ČR,"Silnice I/57 Semetín - Bystřička, 1.stavba",1.45,0.98,0.98
70994234,"Správa železniční dopravní cesty, státní organizace","Modernizace záp. část Praha hl.n., 2.část nást. I - IV",1.48,0.97,0.96
70994226,"České dráhy, a.s.",OBNOVA VOZOVÉHO PARKU LINKY R13 BRNO - BŘECLAV - OLOMOUC,1.11,0.94,0.94
00007064,Ministerstvo vnitra,Zvýšení akceschopnosti Policie ČR při řešení mimořádných událostí,1.07,0.91,0.89
70994234,"Správa železniční dopravní cesty, státní organizace",Elektrizace traťového úseku vč. PEÚ Šatov - Znojmo,1.23,0.88,0.88
67981801,Ředitelství vodních cest ČR,Rekonstrukce železničního mostu Kolín,1.23,0.88,0.87
44992785,Statutární město Brno,Rekonstrukce a dostavba kanalizace v Brně,2.14,0.87,0.8
00551023,Ministerstvo práce a sociálních věcí,Podpora odborného vzdělávání zaměstnanců,1.0,0.85,0.76
00216305,Vysoké učení technické v Brně,Výstavba vzdělávacího komplexu FEKT VUT v Brně na,1.16,0.84,0.84
70994234,"Správa železniční dopravní cesty, státní organizace",Optimalizace trati Horní Dvořiště st. hranice - České Budějovice,1.28,0.84,0.87
70994234,"Správa železniční dopravní cesty, státní organizace","Optimalizace traťového úseku Praha Hostivař - Praha hl. n., I. část - žst. Praha Hostivař",1.21,0.84,0.57
70994234,"Správa železniční dopravní cesty, státní organizace",Průjezd uzlem Plzeň ve směru III. TŽK,1.31,0.84,0.65
70238880,Sdružení obcí Mikroregionu Vsetínsko,Čistá řeka Bečva II,1.47,0.83,0.76
65993390,Ředitelství silnic a dálnic ČR,Silnice I/11 Hrádek - průtah,1.05,0.81,0.76
65993390,Ředitelství silnic a dálnic ČR,Silnice I/27 Třemošná - přeložka,1.02,0.81,0.81
00064581,HLAVNÍ MĚSTO PRAHA,Intenzifikace nasazení telematických zařízení ke zvýšení bezpečnosti a plynulosti dopravy v hl. m. Praze,0.94,0.8,0.61
