NACE,Celkové zdroje,Smlouva,Proplaceno
Všeobecné činnosti veřejné správy,349.171,246.348,224.597
Činnosti související s pozemní dopravou,270.305,181.508,165.828
Terciární vzdělávání,63.287,46.587,43.678
Ústavní zdravotní péče,23.892,16.149,14.736
Městská a příměstská pozemní osobní doprava,35.287,16.049,14.991
Ostatní výzkum a vývoj v oblasti přírodních a technických věd,20.506,15.246,14.772
Regulace a podpora podnikatelského prostředí,16.799,13.922,12.137
Základní vzdělávání na druhém stupni základních škol,8.428,7.02,6.833
Ostatní peněžní zprostředkování,8.347,5.774,5.527
Střední odborné vzdělávání na středních odborných školách,6.601,5.104,4.785
"Shromažďování, úprava a rozvod vody",8.427,4.787,4.508
Železniční osobní doprava meziměstská,10.95,4.216,4.197
"Regulace činností souvisejících s poskytováním zdravotní péče, vzděláváním, kulturou a sociální péčí, kromě sociálního zabezpečení",6.292,3.821,3.606
Činnosti související s vodní dopravou,3.717,2.987,2.507
Střední odborné vzdělávání na učilištích,3.44,2.498,2.331
Ostatní poradenství v oblasti podnikání a řízení,2.869,2.438,1.691
Jiné vzdělávání j. n.,2.361,2.007,1.822
Činnosti v oblasti veřejného pořádku a bezpečnosti,2.24,1.675,1.541
Těžba uranových a thoriových rud,2.733,1.651,1.643
Střední všeobecné vzdělávání,1.998,1.563,1.498
Sanace a jiné činnosti související s odpady,2.184,1.466,1.395
Činnosti v oblasti protipožární ochrany,1.666,1.412,1.367
"Provozování kulturních památek, historických staveb a obdobných turistických zajímavostí",1.564,1.311,1.277
"Výroba a rozvod tepla a klimatizovaného vzduchu, výroba ledu",3.123,1.194,1.148
"Činnosti botanických a zoologických zahrad, přírodních rezervací a národních parků",1.499,1.157,1.108
Pronájem vlastních nebo pronajatých nemovitostí s nebytovými prostory,2.014,1.145,1.114
Výroba elektřiny,3.043,0.991,0.964
Činnosti muzeí,1.174,0.932,0.835
Ostatní činnosti související se zdravotní péčí j. n.,0.774,0.651,0.636
Provozování sportovních zařízení,1.043,0.651,0.615
"Shromažďování a sběr odpadů, kromě nebezpečných",0.998,0.625,0.62
Činnosti související s odpadními vodami,1.202,0.617,0.608
Činnosti související s leteckou dopravou,0.985,0.59,0.573
Těžba dřeva,0.761,0.498,0.464
Sociální péče v domovech pro seniory,0.668,0.463,0.44
Hydrometeorologické a meteorologické činnosti,0.546,0.435,0.435
Činnosti v oblasti povinného sociálního zabezpečení,0.526,0.418,0.342
Těžba a úprava hnědého uhlí,0.924,0.335,0.334
Primární vzdělávání,0.396,0.333,0.331
Sociální péče v zařízeních pro osoby s chronickým duševním onemocněním,0.437,0.315,0.301
Pronájem a správa vlastních nebo pronajatých nemovitostí,0.567,0.305,0.269
Činnosti knihoven a archivů,0.359,0.303,0.282
Činnosti související s ochranou veřejného zdraví,0.365,0.276,0.253
Výroba tepla,0.952,0.273,0.247
Chov koní a jiných koňovitých,0.301,0.256,0.216
Předškolní vzdělávání,0.31,0.238,0.218
Veřejná správa a hospodářská a sociální politika,0.395,0.221,0.218
Železniční nákladní doprava,0.475,0.2,0.185
Technické zkoušky a analýzy,0.562,0.196,0.184
Ostatní vzdělávání j. n.,0.247,0.193,0.178
Činnosti v oblasti spravedlnosti a soudnictví,0.305,0.192,0.129
Ostatní pobytové služby sociální péče,0.206,0.158,0.147
Ostatní úklidové činnosti,0.249,0.144,0.143
Výzkum a vývoj v oblasti technických věd,0.351,0.131,0.121
Činnosti ostatních organizací sdružujících osoby za účelem prosazování společných zájmů j. n.,0.23,0.131,0.127
Postsekundární nikoli terciární vzdělávání,0.14,0.115,0.101
"Ostatní profesní, vědecké a technické činnosti j. n.",0.135,0.113,0.104
Developerská činnost,0.303,0.099,0.085
Činnosti související s úpravou krajiny,0.134,0.093,0.055
Podpůrné činnosti ve vzdělávání,0.106,0.09,0.081
Výzkum a vývoj v oblasti společenských a humanitních věd,0.125,0.089,0.082
Sociální péče v domovech pro osoby se zdravotním postižením,0.108,0.089,0.07
Ostatní vedlejší činnosti v dopravě,0.127,0.088,0.087
Environmentální vzdělávání,0.099,0.082,0.073
Ostatní ubytování,0.116,0.076,0.064
Umělecké vzdělávání,0.092,0.07,0.067
Všeobecná ambulantní zdravotní péče,0.111,0.069,0.064
Scénická umění,0.079,0.063,0.062
Vzdělávání v jazykových školách,0.08,0.062,0.051
Sociální péče v zařízeních pro osoby závislé na návykových látkách,0.06,0.052,0.047
Činnosti botanických a zoologických zahrad,0.11,0.05,0.047
Ambulantní nebo terénní sociální služby pro seniory a osoby se zdravotním postižením,0.072,0.048,0.047
Činnosti ostatních organizací j. n.,0.048,0.041,0.016
Pohřební a související činnosti,0.051,0.039,0.021
Výzkum a vývoj v oblasti biotechnologie,0.046,0.039,0.036
"Ubytování ve vysokoškolských kolejích, domovech mládeže",0.066,0.037,0.035
Pořádání konferencí a hospodářských výstav,0.084,0.032,0.021
Výroba betonových výrobků pro stavební účely,0.077,0.031,0.03
Provozování kulturních zařízení,0.039,0.028,0.027
Sociální péče v domovech pro seniory a osoby se zdravotním postižením,0.035,0.028,0.027
Správa nemovitostí na základě smlouvy nebo dohody,0.061,0.027,0.027
"Odstraňování odpadů, kromě nebezpečných",0.041,0.026,0.026
Základní poštovní služby poskytované na základě poštovní licence,0.09,0.025,0.024
Výzkum a vývoj v oblasti lékařských věd,0.027,0.023,0.011
Činnosti související s pevnou telekomunikační sítí,0.071,0.022,0.019
Jiné ambulantní nebo terénní sociální služby j. n.,0.031,0.022,0.021
Výroba výbušnin,0.034,0.019,0.014
Činnosti organizací dětí a mládeže,0.026,0.018,0.013
Poskytování ostatních osobních služeb j. n.,0.021,0.018,0.016
"Shromažďování, sběr a odstraňování odpadů, úprava odpadů k dalšímu využití",0.025,0.017,0.017
Ostatní zábavní a rekreační činnosti j. n.,0.022,0.016,0.015
"Zprostředkování velkoobchodu a velkoobchod v zastoupení se základními zemědělskými produkty, živými zvířaty, textilními surovinami a polotovary",0.062,0.016,0.016
Výroba piva,0.039,0.015,0.014
Sekundární všeobecné vzdělávání,0.017,0.015,0.014
Chov prasat,0.039,0.014,0.014
Specializovaná ambulantní zdravotní péče,0.017,0.014,0.012
Osobní doprava lanovkou nebo vlekem,0.028,0.012,0.01
Ostatní inženýrské činnosti a související technické poradenství j. n.,0.015,0.011,0.01
Podpůrné činnosti pro lesnictví,0.017,0.011,0.011
Ostatní technické zkoušky a analýzy,0.018,0.011,0.01
