NACE,Celkové zdroje,Smlouva,Proplaceno
Všeobecné činnosti veřejné správy,349.171,246.348,224.597
Činnosti související s pozemní dopravou,270.308,181.511,165.83
Terciární vzdělávání,63.867,47.055,44.111
Ostatní výzkum a vývoj v oblasti přírodních a technických věd,26.531,18.848,18.28
Ústavní zdravotní péče,26.271,17.055,15.577
Městská a příměstská pozemní osobní doprava,37.06,16.746,15.659
Regulace a podpora podnikatelského prostředí,16.799,13.922,12.137
Činnosti ostatních organizací sdružujících osoby za účelem prosazování společných zájmů j. n.,10.876,8.353,7.694
Základní vzdělávání na druhém stupni základních škol,8.438,7.029,6.842
Ostatní peněžní zprostředkování,8.356,5.781,5.533
Střední odborné vzdělávání na středních odborných školách,7.44,5.746,5.391
Pronájem a správa vlastních nebo pronajatých nemovitostí,12.626,5.346,4.924
"Shromažďování, úprava a rozvod vody",8.816,5.003,4.716
Ostatní poradenství v oblasti podnikání a řízení,5.946,4.333,3.468
Železniční osobní doprava meziměstská,11.038,4.253,4.213
"Výroba surového železa, oceli a feroslitin, plochých výrobků (kromě pásky za studena), tváření výrobků za tepla",6.665,4.095,4.047
Výroba elektřiny,13.725,4.013,3.94
"Regulace činností souvisejících s poskytováním zdravotní péče, vzděláváním, kulturou a sociální péčí, kromě sociálního zabezpečení",6.292,3.821,3.606
"Výroba a rozvod tepla a klimatizovaného vzduchu, výroba ledu",9.346,3.122,3.019
Činnosti související s vodní dopravou,3.815,3.026,2.545
Ostatní vzdělávání j. n.,3.746,2.989,2.748
Jiné vzdělávání j. n.,3.343,2.795,2.543
Programování,6.068,2.721,2.53
Provozování sportovních zařízení,5.457,2.686,2.547
Střední odborné vzdělávání na učilištích,3.622,2.651,2.48
Činnosti náboženských organizací,3.021,2.385,2.245
Výroba ostatních dílů a příslušenství pro motorová vozidla,5.929,2.211,1.942
Pronájem vlastních nebo pronajatých nemovitostí s nebytovými prostory,4.204,2.195,2.143
Obrábění,4.991,2.121,1.992
Výroba kovových konstrukcí a jejich dílů,4.927,2.038,1.917
Střední všeobecné vzdělávání,2.431,1.91,1.83
Výroba nástrojů a nářadí,4.127,1.794,1.7
Výstavba bytových a nebytových budov,3.858,1.765,1.704
Činnosti v oblasti veřejného pořádku a bezpečnosti,2.24,1.675,1.541
Činnosti ostatních organizací j. n.,2.049,1.667,1.518
Činnosti muzeí,2.195,1.661,1.526
Těžba uranových a thoriových rud,2.733,1.651,1.643
Výroba ostatních kovodělných výrobků j. n.,3.866,1.608,1.54
"Tisk ostatní, kromě novin",3.633,1.605,1.547
"Shromažďování a sběr odpadů, kromě nebezpečných",3.008,1.589,1.544
Sanace a jiné činnosti související s odpady,2.347,1.54,1.467
"Výroba plastových desek, fólií, hadic, trubek a profilů",3.561,1.514,1.422
Výroba ostatních plastových výrobků,3.561,1.511,1.438
Činnosti v oblasti protipožární ochrany,1.688,1.43,1.381
"Provozování kulturních památek, historických staveb a obdobných turistických zajímavostí",1.567,1.314,1.281
"Činnosti botanických a zoologických zahrad, přírodních rezervací a národních parků",1.637,1.259,1.21
Hotely,3.283,1.254,1.199
"Výroba elektrických motorů, generátorů a transformátorů",3.289,1.243,1.118
Smíšené hospodářství,3.186,1.202,1.19
Ostatní ambulantní nebo terénní sociální služby j. n.,1.456,1.188,1.101
Ostatní činnosti související se zdravotní péčí j. n.,1.625,1.156,1.1
Výroba zdvihacích a manipulačních zařízení,2.836,1.152,1.077
Činnosti související se zpracováním dat a hostingem,1.924,1.064,0.985
Výroba kovoobráběcích strojů,2.826,1.041,0.969
Činnosti profesních organizací,1.354,1.024,0.89
Poradenství v oblasti informačních technologií,2.239,1.023,0.974
Nespecializovaný velkoobchod,1.963,0.97,0.915
"Výroba ložisek, ozubených kol, převodů a hnacích prvků",2.508,0.969,0.942
Výroba plastových obalů,2.461,0.948,0.922
