IČO,Žadatel,Celkové zdroje,Smlouva,Proplaceno
18050646,"TŘINECKÉ ŽELEZÁRNY, a. s.",3.25,2.1,2.08
45193258,ArcelorMittal Ostrava a.s.,2.43,1.6,1.58
75125285,"Dolní oblast VÍTKOVICE, z.s.",1.67,1.18,1.1
45193410,"Veolia Energie ČR, a.s.",3.3,0.92,0.89
46709002,"VÚTS, a.s.",0.95,0.66,0.66
28800621,"Elektrárny Opatovice, a.s.",1.97,0.63,0.63
25572245,Svaz VKMO s.r.o.,1.07,0.61,0.6
63113074,Svaz měst a obcí České republiky,0.66,0.56,0.56
26396645,Techmania Science Center o.p.s.,0.79,0.55,0.52
63839172,"CESNET, zájmové sdružení právnických osob",0.75,0.51,0.45
62243136,"Unipetrol výzkumně vzdělávací centrum, a.s.",0.78,0.5,0.5
25271121,VÝZKUMNÝ A ŠLECHTITELSKÝ ÚSTAV OVOCNÁŘSKÝ HOLOVOUSY s.r.o.,0.77,0.5,0.49
49100262,"Lovochemie, a.s.",1.89,0.47,0.47
00479365,Kanonie premonstrátů Teplá,0.5,0.42,0.42
72045230,"Terezín - město změny, zájmové sdružení právnických osob",0.5,0.42,0.38
26316919,COMTES FHT a.s.,0.62,0.42,0.42
75122979,"Multifunkční centrum zámek Lednice, zájmové sdružení právnických osob",0.48,0.41,0.39
27660320,PrimeCell Therapeutics a.s.,0.78,0.39,0.38
60108916,"Synthesia, a.s.",1.37,0.39,0.39
25334271,"ŽS REAL, a.s.",1.23,0.39,0.34
28094468,"CGMC, družstvo",0.78,0.38,0.38
25444565,"IQLANDIA, o.p.s.",0.48,0.38,0.37
46956484,Římskokatolická farnost Velehrad,0.43,0.36,0.35
28522761,Bammer trade a.s.,1.05,0.36,0.36
25877950,VÍTKOVICE HEAVY MACHINERY a.s.,0.83,0.35,0.35
27128164,"RenoEnergie, a.s.",1.19,0.35,0.34
28676092,MemBrain s.r.o.,0.44,0.33,0.33
45534187,JUTA a.s.,0.94,0.33,0.32
47675896,"ENERGETIKA TŘINEC, a.s.",1.1,0.31,0.31
62024922,Continental Automotive Czech Republic s.r.o.,0.96,0.31,0.3
28615425,TAMEH Czech s.r.o.,1.19,0.31,0.22
48400751,FERRIT s.r.o.,0.71,0.31,0.29
25846574,EXELSIOR GROUP s.r.o.,0.78,0.3,0.3
00268577,"Siemens, s.r.o.",0.74,0.3,0.29
25106481,C-Energy Bohemia s.r.o.,1.31,0.27,0.27
27862470,VYRTYCH a.s.,0.6,0.27,0.27
45534276,"VEBA, textilní závody a.s.",0.73,0.26,0.25
41602706,Biology Park Brno a.s.,0.43,0.26,0.23
29031621,"Nupharo Park, a.s.",0.7,0.25,0.25
25999851,"Energeia, o.p.s.",0.64,0.25,0.25
26229269,VIENNA POINT a.s.,0.49,0.25,0.23
43227317,SKIAREÁL KLÍNOVEC s.r.o.,0.6,0.25,0.25
25755277,"Člověk v tísni, o.p.s.",0.29,0.25,0.21
25521446,ROKOSPOL a.s.,0.55,0.25,0.21
00438341,Federace židovských obcí v České republice,0.29,0.24,0.24
26244535,"IBM Global Services Delivery Center Czech Republic, s.r.o.",0.71,0.24,0.24
28126548,ELMO-PLAST a.s.,0.51,0.23,0.21
27942368,Technologické centrum Písek s.r.o.,0.49,0.23,0.23
24126381,STROJÍRENSKÝ VĚDECKOTECHNICKÝ PARK s.r.o.,0.46,0.23,0.23
26176165,Dolnolabské elektrárny a.s.,0.87,0.23,0.23
24781452,TAMERO INVEST s.r.o.,0.58,0.22,0.22
45147477,UVR Mníšek pod Brdy a.s.,0.41,0.22,0.21
