IČO,Žadatel,Celkové zdroje,Smlouva,Proplaceno
70994234,"Správa železniční dopravní cesty, státní organizace",128.99,88.63,79.11
65993390,Ředitelství silnic a dálnic ČR,124.36,78.79,74.51
00551023,Ministerstvo práce a sociálních věcí,27.58,23.45,19.81
70890692,Moravskoslezský kraj,14.13,10.93,9.89
00005886,"Dopravní podnik hl.m. Prahy ,akciová společnost",24.94,10.65,10.39
00216224,Masarykova univerzita,13.22,9.62,9.2
00007064,Ministerstvo vnitra,9.59,7.84,7.18
72496991,Úřad práce České republiky,8.87,7.33,6.6
61989592,Univerzita Palackého v Olomouci,8.98,6.7,6.38
00022985,"Ministerstvo školství, mládeže a tělovýchovy",7.45,6.33,5.72
70891095,Středočeský kraj,7.55,6.14,4.96
70890749,Kraj Vysočina,8.81,6.02,5.48
68378271,"Fyzikální ústav AV ČR, v. v. i.",7.38,5.85,5.81
44848943,"Českomoravská záruční a rozvojová banka, a.s.",8.35,5.77,5.53
00216305,Vysoké učení technické v Brně,7.32,5.32,5.03
61989100,Vysoká škola báňská - Technická univerzita Ostrava,7.44,5.15,4.88
70932581,"Správa a údržba silnic Jihomoravského kraje, příspěvková organizace kraje",5.8,4.91,3.85
70890650,Jihočeský kraj,5.26,4.42,4.0
70994226,"České dráhy, a.s.",10.95,4.22,4.2
70892156,Ústecký kraj,5.23,4.16,3.87
70892822,Pardubický kraj,5.11,4.16,3.86
70889546,Královéhradecký kraj,4.46,3.69,3.41
60609460,Olomoucký kraj,4.79,3.51,3.21
44992785,Statutární město Brno,6.67,3.42,2.98
66002222,Ministerstvo pro místní rozvoj,3.95,3.34,2.75
00064581,HLAVNÍ MĚSTO PRAHA,4.19,3.33,2.93
00845451,Statutární město Ostrava,4.59,3.28,2.91
49777513,Západočeská univerzita v Plzni,4.57,3.18,2.99
72053119,"Správa a údržba silnic Plzeňského kraje, příspěvková organizace",3.74,3.17,2.74
67981801,Ředitelství vodních cest ČR,3.72,2.99,2.51
70934860,"Ředitelství silnic Zlínského kraje,příspěvková organizace",3.21,2.59,2.41
70891508,Liberecký kraj,3.12,2.54,2.33
00216208,Univerzita Karlova v Praze,3.13,2.52,2.35
70888337,Jihomoravský kraj,3.12,2.49,2.26
00159816,Fakultní nemocnice u sv. Anny v Brně,5.06,2.32,2.14
68378050,"Ústav molekulární genetiky AV ČR, v. v. i.",3.27,2.3,2.17
25508881,"Dopravní podnik města Brna,a.s.",2.95,1.92,1.22
00075370,Statutární město Plzeň,3.61,1.87,1.68
68407700,České vysoké učení technické v Praze,2.55,1.87,1.69
70891320,Zlínský kraj,2.76,1.84,1.7
70883521,Univerzita Tomáše Bati ve Zlíně,2.67,1.82,1.67
00020729,Státní fond životního prostředí České republiky,3.89,1.8,1.67
70947023,"Krajská správa a údržba silnic Karlovarského kraje, příspěvková organizace",2.13,1.73,1.63
26722445,Centrum výzkumu Řež s.r.o.,2.27,1.7,1.65
47609109,Ministerstvo průmyslu a obchodu,2.03,1.7,1.48
46747885,Technická univerzita v Liberci,2.26,1.68,1.53
00002739,"DIAMO, státní podnik",2.73,1.65,1.64
25488627,"Krajská zdravotní, a.s.",2.02,1.62,1.38
62156489,Mendelova univerzita v Brně,2.12,1.61,1.41
70891168,Karlovarský kraj,1.88,1.56,1.47
71377999,Agentura pro podporu podnikání a investic CzechInvest,1.81,1.54,0.89
00007536,"Palivový kombinát Ústí, státní podnik",2.18,1.47,1.4
00405698,Fond dalšího vzdělávání,1.66,1.41,1.3
00234516,Statutární město Kladno,2.0,1.4,1.18
00216275,Univerzita Pardubice,1.79,1.39,1.24
00261891,Statutární město Chomutov,2.23,1.32,1.26
