IČO,Žadatel,Veřejná instituce,Celkové zdroje,Smlouva,Proplaceno
70994234,"Správa železniční dopravní cesty, státní organizace",True,120.17,82.67,62.14
65993390,Ředitelství silnic a dálnic ČR,True,117.87,74.45,69.27
00551023,Ministerstvo práce a sociálních věcí,True,27.58,23.45,17.19
70890692,Moravskoslezský kraj,True,14.13,10.92,8.95
00005886,"Dopravní podnik hl.m. Prahy ,akciová společnost",True,24.94,10.52,10.0
00216224,Masarykova univerzita,True,13.22,9.62,9.18
00007064,Ministerstvo vnitra,True,9.59,7.84,6.59
72496991,Úřad práce České republiky,True,8.87,7.33,6.58
61989592,Univerzita Palackého v Olomouci,True,9.06,6.76,6.36
00022985,"Ministerstvo školství, mládeže a tělovýchovy",True,7.45,6.33,5.53
70891095,Středočeský kraj,True,7.55,6.14,4.86
70890749,Kraj Vysočina,True,8.81,6.02,5.26
68378271,"Fyzikální ústav AV ČR, v. v. i.",True,7.38,5.85,5.79
44848943,"Českomoravská záruční a rozvojová banka, a.s.",True,8.35,5.77,5.53
00216305,Vysoké učení technické v Brně,True,7.32,5.32,4.98
61989100,Vysoká škola báňská - Technická univerzita Ostrava,True,7.44,5.15,4.79
70932581,"Správa a údržba silnic Jihomoravského kraje, příspěvková organizace kraje",True,5.8,4.91,3.57
70890650,Jihočeský kraj,True,5.28,4.44,3.82
70892156,Ústecký kraj,True,5.24,4.17,3.74
70892822,Pardubický kraj,True,5.11,4.16,3.81
70889546,Královéhradecký kraj,True,4.46,3.69,3.36
60609460,Olomoucký kraj,True,4.79,3.51,3.09
44992785,Statutární město Brno,True,6.66,3.41,2.86
66002222,Ministerstvo pro místní rozvoj,True,3.95,3.35,2.69
00845451,Statutární město Ostrava,True,4.59,3.28,2.73
49777513,Západočeská univerzita v Plzni,True,4.57,3.18,2.99
72053119,"Správa a údržba silnic Plzeňského kraje, příspěvková organizace",True,3.74,3.17,2.74
70994226,"České dráhy, a.s.",True,9.84,3.14,3.02
67981801,Ředitelství vodních cest ČR,True,3.72,2.99,2.5
70934860,"Ředitelství silnic Zlínského kraje,příspěvková organizace",True,3.21,2.59,2.35
70891508,Liberecký kraj,True,3.12,2.54,2.24
00216208,Univerzita Karlova v Praze,True,3.13,2.52,2.12
70888337,Jihomoravský kraj,True,3.12,2.49,2.24
00159816,Fakultní nemocnice u sv. Anny v Brně,True,5.06,2.32,2.14
68378050,"Ústav molekulární genetiky AV ČR, v. v. i.",True,3.27,2.3,2.17
00064581,HLAVNÍ MĚSTO PRAHA,True,2.75,2.2,1.91
18050646,"TŘINECKÉ ŽELEZÁRNY, a. s.",False,3.25,2.1,2.08
25508881,"Dopravní podnik města Brna,a.s.",True,2.95,1.92,1.22
00075370,Statutární město Plzeň,True,3.61,1.87,1.68
68407700,České vysoké učení technické v Praze,True,2.55,1.87,1.66
70891320,Zlínský kraj,True,2.76,1.84,1.66
70883521,Univerzita Tomáše Bati ve Zlíně,True,2.67,1.82,1.63
00020729,Státní fond životního prostředí České republiky,True,3.85,1.78,1.56
70947023,"Krajská správa a údržba silnic Karlovarského kraje, příspěvková organizace",True,2.13,1.73,1.63
26722445,Centrum výzkumu Řež s.r.o.,True,2.27,1.7,1.65
47609109,Ministerstvo průmyslu a obchodu,True,2.03,1.7,1.47
46747885,Technická univerzita v Liberci,True,2.26,1.68,1.49
00002739,"DIAMO, státní podnik",True,2.73,1.65,1.64
25488627,"Krajská zdravotní, a.s.",True,2.02,1.62,1.07
62156489,Mendelova univerzita v Brně,True,2.12,1.61,1.41
45193258,ArcelorMittal Ostrava a.s.,False,2.43,1.6,1.58
70891168,Karlovarský kraj,True,1.88,1.56,1.46
71377999,Agentura pro podporu podnikání a investic CzechInvest,True,1.81,1.54,0.89
00007536,"Palivový kombinát Ústí, státní podnik",True,2.18,1.47,1.4
00405698,Fond dalšího vzdělávání,True,1.66,1.41,1.2
00234516,Statutární město Kladno,True,2.0,1.4,1.18
00216275,Univerzita Pardubice,True,1.79,1.39,1.24
00261891,Statutární město Chomutov,True,2.31,1.37,1.26
49277600,ČESKÁ CENTRÁLA CESTOVNÍHO RUCHU,True,1.55,1.31,1.17
75032333,Národní památkový ústav,True,1.56,1.31,1.25
60076658,Jihočeská univerzita v Českých Budějovicích,True,1.67,1.3,1.19
00286010,Statutární město Jihlava,True,1.82,1.27,1.02
70890366,Plzeňský kraj,True,2.12,1.26,1.15
61974757,Dopravní podnik Ostrava a.s.,True,2.68,1.25,1.17
00297488,Statutární město Havířov,True,2.23,1.24,1.1
75125285,"Dolní oblast VÍTKOVICE, z.s.",False,1.67,1.18,1.1
47674954,"Vodohospodářská zařízení Šumperk, a.s.",True,1.97,1.13,1.01
45671745,Vodovody a kanalizace Znojemsko,True,1.89,1.06,1.02
00006947,Ministerstvo financí,True,1.25,1.06,0.82
