Program,-1,0,1 - 5,6 - 9,10 - 19,20 - 24,25 - 49,50 - 99,100 - 199,200 - 249,250 - 499,500 - 999,1000 - 1499,1500 - 1999,2000 - 2499,2500 - 2999,3000 - 3999,4000 - 4999,5000 - 9999,10000 a více
CZ.1.01 OP Doprava,1.34,1.34,1.34,4.27,4.27,4.27,4.27,36.87,39.25,39.25,44.16,88.01,88.01,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CZ.1.02 OP Životní prostředí,23.77,23.96,30.83,35.2,42.16,43.75,50.25,59.76,64.14,64.9,73.9,76.93,78.94,83.79,83.95,83.95,84.09,84.09,100.0,100.0
CZ.1.03 OP Podnikání a inovace,5.29,5.65,10.75,14.2,23.66,27.01,42.35,57.55,73.51,78.83,87.87,93.19,95.96,97.05,98.5,98.7,98.8,99.08,99.8,100.0
CZ.1.04 OP Lidské zdroje a zaměstnanost,6.21,6.28,24.64,32.51,43.08,46.92,59.84,71.46,80.28,82.97,90.6,95.42,97.29,98.23,98.93,99.2,99.32,99.63,99.92,100.0
CZ.1.05 OP Výzkum a vývoj pro inovace,0.0,0.0,0.0,0.0,0.0,0.0,1.05,47.69,72.63,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CZ.1.06 Integrovaný operační program,19.01,19.01,31.64,48.63,66.11,71.46,73.49,86.79,90.57,92.99,94.05,95.98,99.7,99.7,100.0,100.0,100.0,100.0,100.0,100.0
CZ.1.07 OP Vzdělávání pro konkurenceschopnost,9.67,9.7,41.94,52.76,66.38,71.92,88.95,94.34,97.27,97.92,99.87,99.93,99.95,99.95,99.97,99.97,99.97,99.97,99.97,100.0
CZ.1.08 OP Technická pomoc,1.87,1.87,79.28,94.7,97.91,97.91,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CZ.1.09 ROP NUTS II Severozápad,5.47,5.47,25.0,34.22,62.76,64.06,88.62,91.8,93.89,96.21,97.44,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CZ.1.10 ROP NUTS II Moravskoslezsko,20.06,20.06,29.02,34.9,54.55,56.65,63.47,79.01,85.85,86.09,92.04,94.49,98.04,98.04,98.04,98.04,98.04,98.04,98.04,100.0
CZ.1.11 ROP NUTS II Jihovýchod,9.36,9.88,24.13,32.21,44.09,47.07,58.76,87.27,91.13,92.2,93.85,95.76,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CZ.1.12 ROP NUTS II Střední Morava,15.07,15.16,27.77,39.24,54.05,58.24,69.99,80.23,90.09,90.09,93.66,98.73,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CZ.1.13 ROP NUTS II Severovýchod,14.73,14.89,30.59,38.52,45.27,50.51,67.91,78.91,83.12,86.1,99.21,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CZ.1.14 ROP Jihozápad,18.96,19.27,36.57,41.42,53.66,60.51,77.77,89.4,94.11,95.37,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CZ.1.15 ROP NUTS II Střední Čechy,9.54,9.54,19.68,41.87,55.72,59.47,64.1,81.14,86.6,87.09,93.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CZ.1.25 OP Rybářství,28.32,28.32,33.62,37.6,52.05,58.34,72.02,92.63,99.08,99.08,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CZ.2.16 OP Praha Konkurenceschopnost,22.48,22.48,34.57,38.11,55.0,60.05,70.54,87.97,98.74,99.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CZ.2.17 OP Praha Adaptibilita,8.4,8.63,24.62,33.72,46.49,51.0,68.33,80.34,89.13,91.73,97.38,98.52,98.89,99.06,99.06,99.56,99.56,99.64,100.0,100.0
CZ.3.22 OP ČR - Polsko,23.45,23.45,61.5,75.27,95.73,95.97,96.08,96.52,99.84,99.84,99.84,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
