Program,False,True
CZ.1.01 OP Doprava,0.1,99.9
CZ.1.08 OP Technická pomoc,2.29,97.71
CZ.1.15 ROP NUTS II Střední Čechy,6.96,93.04
CZ.1.05 OP Výzkum a vývoj pro inovace,8.46,91.54
CZ.1.09 ROP NUTS II Severozápad,9.24,90.76
CZ.1.10 ROP NUTS II Moravskoslezsko,9.66,90.34
CZ.1.11 ROP NUTS II Jihovýchod,9.85,90.15
CZ.1.14 ROP Jihozápad,10.31,89.69
CZ.1.06 Integrovaný operační program,11.85,88.15
CZ.2.16 OP Praha Konkurenceschopnost,12.57,87.43
CZ.1.12 ROP NUTS II Střední Morava,14.5,85.5
CZ.1.13 ROP NUTS II Severovýchod,14.65,85.35
CZ.3.22 OP ČR - Polsko,16.64,83.36
CZ.1.02 OP Životní prostředí,18.13,81.87
CZ.1.07 OP Vzdělávání pro konkurenceschopnost,18.37,81.63
CZ.1.04 OP Lidské zdroje a zaměstnanost,25.27,74.73
CZ.2.17 OP Praha Adaptibilita,58.89,41.11
CZ.1.25 OP Rybářství,77.43,22.57
CZ.1.03 OP Podnikání a inovace,87.34,12.66
