Veřejná instituce,False,False,False,True,True,True
,Celkové zdroje,Proplaceno,Smlouva,Celkové zdroje,Proplaceno,Smlouva
Program,,,,,,
CZ.1.01 OP Doprava,0.55,0.17,0.17,284.04,169.02,183.65
CZ.1.02 OP Životní prostředí,48.21,22.64,23.14,177.46,101.35,104.92
CZ.1.03 OP Podnikání a inovace,206.69,78.19,83.4,17.91,10.75,12.1
CZ.1.04 OP Lidské zdroje a zaměstnanost,17.51,13.2,14.86,51.8,37.63,44.03
CZ.1.05 OP Výzkum a vývoj pro inovace,5.95,4.02,4.15,65.41,43.33,44.88
CZ.1.06 Integrovaný operační program,9.22,4.87,5.25,49.39,35.42,38.93
CZ.1.07 OP Vzdělávání pro konkurenceschopnost,10.32,8.13,8.77,45.87,35.79,38.99
CZ.1.08 OP Technická pomoc,0.12,0.09,0.1,5.01,3.52,4.25
CZ.1.09 ROP NUTS II Severozápad,4.35,1.68,1.74,24.48,16.33,17.35
CZ.1.10 ROP NUTS II Moravskoslezsko,5.11,1.89,2.17,28.81,18.03,20.49
CZ.1.11 ROP NUTS II Jihovýchod,4.77,1.94,2.2,28.78,16.54,20.12
CZ.1.12 ROP NUTS II Střední Morava,7.12,2.53,2.7,23.23,14.99,16.03
CZ.1.13 ROP NUTS II Severovýchod,6.28,2.56,2.7,22.6,14.84,15.74
CZ.1.14 ROP Jihozápad,4.25,1.82,1.93,24.05,15.01,16.81
CZ.1.15 ROP NUTS II Střední Čechy,3.22,1.19,1.23,22.7,13.74,16.46
CZ.1.25 OP Rybářství,1.31,0.52,0.54,0.25,0.16,0.16
CZ.2.16 OP Praha Konkurenceschopnost,1.71,0.86,0.93,9.55,5.67,6.4
CZ.2.17 OP Praha Adaptibilita,2.15,1.57,1.78,1.47,1.07,1.24
CZ.3.22 OP ČR - Polsko,0.03,0.05,0.02,0.15,0.14,0.12
