Žadatel,IČ žadatele,Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje)
"TŘINECKÉ ŽELEZÁRNY, a. s.",18050646,2.30012830898
ArcelorMittal Ostrava a.s.,45193258,1.67658697818
Dolní oblast VÍTKOVICE,75125285,1.27393094385
"Veolia Energie ČR, a.s.",45193410,0.95684889752
"VÚTS, a.s.",46709002,0.77094259448
Svaz VKMO s.r.o.,25572245,0.70369411347
SVAZ MĚST A OBCÍ ČESKÉ REPUBLIKY,63113074,0.65722331013
"Unipetrol výzkumně vzdělávací centrum, a.s.",62243136,0.58726071181
"Elektrárny Opatovice, a.s.",28800621,0.58280647058
VÝZKUMNÝ A ŠLECHTITELSKÝ ÚSTAV OVOCNÁŘSKÝ HOLOVOUSY s.r.o.,25271121,0.58136706496
Techmania Science Center o.p.s.,26396645,0.57190001401
"Lovochemie, a.s.",49100262,0.53901161096
CESNET - ZÁJMOVÉ SDRUŽENÍ PRÁVNICKÝCH OSOB,63839172,0.53479797182
Kanonie premonstrátů Teplá,00479365,0.49698366384
COMTES FHT a.s.,26316919,0.46734830758999996
"Multifunkční centrum zámek Lednice, zájmové sdružení právnických osob",75122979,0.455869986
"Synthesia, a.s.",60108916,0.45487832035000003
"Terezín - město změny, zájmové sdružení právnických osob",72045230,0.44399030030000003
PrimeCell Therapeutics a.s.,27660320,0.442950942
"CGMC, družstvo",28094468,0.433478796
Bammer trade a.s.,28522761,0.418855
Římskokatolická farnost Velehrad,46956484,0.40767244998
"IQLANDIA, o.p.s.",25444565,0.40679435775
"RenoEnergie, a.s.",27128164,0.39714598782
VÍTKOVICE HEAVY MACHINERY a.s.,25877950,0.39544877846
MemBrain s.r.o.,28676092,0.38612138683999997
"ENERGETIKA TŘINEC, a.s.",47675896,0.36308629908999995
EXELSIOR GROUP s.r.o.,25846574,0.356608157
JUTA a.s.,45534187,0.35152381552999995
"ŽS REAL, a.s.",25334271,0.3440649909
FERRIT s.r.o.,48400751,0.340808748
Continental Automotive Czech Republic s.r.o.,62024922,0.321099257
C-Energy Bohemia s.r.o.,25106481,0.31737114751000006
"Nupharo Park, a.s.",29031621,0.299990765
VYRTYCH a.s.,27862470,0.296864876
"Siemens, s.r.o.",00268577,0.29685560717000004
SKIAREÁL KLÍNOVEC s.r.o.,43227317,0.29123595464999996
Federace židovských obcí v České republice,00438341,0.28480919336
"VEBA, textilní závody a.s.",45534276,0.28239959928
"IBM Global Services Delivery Center Czech Republic, s.r.o.",26244535,0.279999289
Technologické centrum Písek s.r.o.,27942368,0.271585887
VIENNA POINT a.s.,26229269,0.266927145
Dolnolabské elektrárny a.s.,26176165,0.26569881937
"Energeia, o.p.s.",25999851,0.25427122
"Člověk v tísni, o.p.s.",25755277,0.24438262243999997
ROKOSPOL a.s.,25521446,0.23815717568
"SNĚŽNÍK , a.s.",26979136,0.23750044218000002
TAMEH Czech s.r.o.,28615425,0.23609242519999998
UVR Mníšek pod Brdy a.s.,45147477,0.23178191169
Biology Park Brno a.s.,41602706,0.231383549
STROJÍRENSKÝ VĚDECKOTECHNICKÝ PARK s.r.o.,24126381,0.22969605
ELMO-PLAST a.s.,28126548,0.229370819
"VARIEL, a. s.",45148287,0.228452569
TAMERO INVEST s.r.o.,24781452,0.224847
"RG Group, a.s.",28224485,0.223250785
"Slévárny Třinec, a.s.",25830716,0.22119330459
HR Agency s.r.o.,26374196,0.21813027485
Nemocnice Nový Jičín a.s.,25886207,0.215475585
Czech Hydro s.r.o.,26445085,0.214674
SVAZ PRŮMYSLU A DOPRAVY ČR,00536211,0.2139256365
Jihočeský vodárenský svaz,49021117,0.21025439849000002
Lučební závody Draslovka a.s. Kolín,46357351,0.20882526406000002
"CARMAN, a.s.",26138891,0.206463879
SPUR a.s.,46900098,0.20612030161999997
AT & T Global Network Services Czech Republic s.r.o.,25785435,0.199999603
Národní Centrum Tkání a Buněk a.s.,28338766,0.199985739
"VTP Brno, a.s.",63483122,0.197228603
Benediktinské opatství sv. Václava v Broumově,48648884,0.195607654
SPOLCHEMIE Electrolysis a.s.,29200181,0.19324067588
"CZECH IT CLUSTER, družstvo",29218233,0.190614867
"Meopta - optika, s.r.o.",47677023,0.189516129
"Strojmetal Aluminium Forging, s.r.o.",25037684,0.188017413
"WITTE Nejdek, spol. s r.o.",40525881,0.184105454
ŠKODA AUTO a.s.,00177041,0.183494949
"UNIS, a.s.",00532304,0.183001229
"Slovácké strojírny, akciová společnost",00008702,0.180277714
MORAVIA CANS a.s.,46900616,0.17909487709
"První železářská společnost Kladno, s.r.o.",49550942,0.178340535
AERO Vodochody AEROSPACE a.s.,24194204,0.17767373798000002
Multiscan s.r.o.,26476444,0.17750645265
