Žadatel,IČ žadatele,Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje)
Ředitelství silnic a dálnic ČR,65993390,96.05774346378001
"Správa železniční dopravní cesty, státní organizace",70994234,79.46651257417003
MINISTERSTVO PRÁCE A SOCIÁLNÍCH VĚCÍ,00551023,20.226536905830002
"Dopravní podnik hl.m. Prahy ,akciová společnost",00005886,11.874580800569998
Moravskoslezský kraj,70890692,10.898058595360002
Masarykova univerzita,00216224,10.800979257470011
Neidentifikován,99999999,8.261135848519986
Ministerstvo vnitra,00007064,7.7516011881199995
"Úřad práce ČR - Krajská pobočka v Brně, kontaktní pracoviště Blansko",72496991,7.735390170539996
"České dráhy, a.s.",70994226,7.636481645269999
Univerzita Palackého v Olomouci,61989592,7.479109224889995
Vysočina,70890749,6.932345361109998
"Fyzikální ústav AV ČR, v.v.i.",68378271,6.828291574800001
"MINISTERSTVO ŠKOLSTVÍ, MLÁDEŽE A TĚLOVÝCHOVY",00022985,6.505904565150001
"Českomoravská záruční a rozvojová banka, a.s.",44848943,6.502
Vysoké učení technické v Brně,00216305,5.859316713219999
Středočeský kraj,70891095,5.720254496020001
Vysoká škola báňská - Technická univerzita Ostrava,61989100,5.71830693669
Ústecký kraj,70892156,4.39418300908
Jihočeský kraj,70890650,4.366607508210001
Pardubický kraj,70892822,4.3655915143999975
"Správa a údržba silnic Jihomoravského kraje, příspěvková organizace kraje",70932581,4.105832432469998
Královéhradecký kraj,70889546,3.8827122519199997
Olomoucký kraj,60609460,3.72328233492
Statutární město Brno,44992785,3.5754590686100003
Západočeská univerzita v Plzni,49777513,3.52346563749
"Statutární město Ostrava, městský obvod Poruba",00845451,3.2038926295299994
MINISTERSTVO PRO MÍSTNÍ ROZVOJ,66002222,3.1682168670699986
"Správa a údržba silnic Plzeňského kraje, příspěvková organizace",72053119,3.1282687155900004
Ředitelství vodních cest ČR,67981801,2.94528371479
"Ředitelství silnic Zlínského kraje,příspěvková organizace",70934860,2.7995432756900005
Jihomoravský kraj,70888337,2.6349703041899994
"Ústav molekulární genetiky AV ČR, v. v. i.",68378050,2.5540749038099997
Liberecký kraj,70891508,2.5380785417800014
Fakultní nemocnice u sv. Anny v Brně,00159816,2.5130967517
Univerzita Karlova v Praze,00216208,2.4923672552500005
"TŘINECKÉ ŽELEZÁRNY, a. s.",18050646,2.30012830898
HLAVNÍ MĚSTO PRAHA,00064581,2.2492946666900004
Zlínský kraj,70891320,2.0603701669000003
statutární město Plzeň,00075370,2.00926081117
Dopravní podnik Ostrava a.s.,61974757,1.99638512266
České vysoké učení technické v Praze,68407700,1.9958267768000004
Centrum výzkumu Řež s.r.o.,26722445,1.93991111188
"DIAMO, státní podnik",00002739,1.93243016697
Univerzita Tomáše Bati ve Zlíně,70883521,1.9190141817999997
"Krajská správa a údržba silnic Karlovarského kraje, příspěvková organizace",70947023,1.91522811953
STATUTÁRNÍ MĚSTO CHOMUTOV,00261891,1.8664201650399999
Státní fond životního prostředí České republiky,00020729,1.833177240989999
Technická univerzita v Liberci,46747885,1.76133758663
MINISTERSTVO PRŮMYSLU A OBCHODU,47609109,1.7254725552200005
Karlovarský kraj,70891168,1.7143490035400002
ArcelorMittal Ostrava a.s.,45193258,1.67658697818
Mendelova univerzita v Brně,62156489,1.6609574170899997
"Palivový kombinát Ústí, státní podnik",00007536,1.64144803379
"Dopravní podnik města Brna,a.s.",25508881,1.5000225768000002
Národní památkový ústav,75032333,1.48146609751
Univerzita Pardubice,00216275,1.4635218623500004
Fond dalšího vzdělávání,00405698,1.4129909769799998
Jihočeská univerzita v Českých Budějovicích,60076658,1.4043000647299995
Statutární město Kladno,00234516,1.3867658505900007
ČESKÁ CENTRÁLA CESTOVNÍHO RUCHU,49277600,1.38000077266
Plzeňský kraj,70890366,1.37137914253
Statutární město Havířov,00297488,1.34170471315
Dolní oblast VÍTKOVICE,75125285,1.27393094385
"Krajská zdravotní, a.s.",25488627,1.24018261291
Statutární město Jihlava,00286010,1.2292729538600002
Vodovody a kanalizace Znojemsko,45671745,1.2003990878500002
"Vodohospodářská zařízení Šumperk, a.s.",47674954,1.18633543581
STATUTÁRNÍ MĚSTO LIBEREC,00262978,1.1503521606000002
Povodí Berounky,75042860,1.15009104647
Agentura pro podporu podnikání a investic CzechInvest,71377999,1.04612028461
"Správa silnic Olomouckého kraje, příspěvková organizace",70960399,1.0416527997399998
Statutární město Olomouc,00299308,1.03888577755
Statutární město Ústí nad Labem,00081531,1.0364732164500001
Město Tábor,00253014,1.0144991310699998
Vysoká škola chemicko-technologická v Praze,60461373,1.0124439810799999
Ministerstvo financí,00006947,0.9607163503900001
"Veolia Energie ČR, a.s.",45193410,0.95684889752
Státní úřad inspekce práce,75046962,0.91769500291
Statutární město České Budějovice,00244732,0.9081802628400002
Statutární město Opava,00300535,0.9077594312700002
Česká agentura na podporu obchodu,00001171,0.90528444402
Ministerstvo dopravy,66003008,0.89871741631
"Nemocnice České Budějovice, a.s.",26068877,0.8973959608000001
PSYCHIATRICKÉ CENTRUM PRAHA,00023752,0.8637711869500001
Ostravská univerzita v Ostravě,61988987,0.8622513367900001
Fakultní nemocnice Ostrava,00843989,0.8608835348299999
Sdružení obcí Mikroregionu Vsetínsko,70238880,0.86068471992
Ministerstvo životního prostředí,00164801,0.8594013853799998
Svazek vodovodů a kanalizací Ivančice,49458892,0.81048785457
VODOVODY A KANALIZACE,60418885,0.79803402107
ČESKÝ STATISTICKÝ ÚŘAD,00025593,0.7938534111800001
statutární město Zlín,00283924,0.7759774090499999
"VÚTS, a.s.",46709002,0.77094259448
"Centrum výzkumu globální změny AV ČR, v. v. i.",67179843,0.7702180871000001
Fakultní nemocnice Plzeň,00669806,0.7685539188299999
Vodohospodářské sdružení Turnov,49295934,0.76779951002
Český úřad zeměměřický a katastrální,00025712,0.76740280027
Statutární město Hradec Králové,00268810,0.7561835594999999
STATUTÁRNÍ MĚSTO DĚČÍN,00261238,0.74661281328
Fakultní nemocnice Hradec Králové,00179906,0.74383164426
Regionální rada regionu soudržnosti Moravskoslezsko,75082616,0.7357837004899999
Statutární město Karlovy Vary,00254657,0.7354856088599999
Fakultní nemocnice Brno,65269705,0.7164091995599999
Svaz VKMO s.r.o.,25572245,0.70369411347
Město Strakonice,00251810,0.6976590909499999
STATUTÁRNÍ MĚSTO KARVINÁ,00297534,0.6903496069099998
"Vodovody a kanalizace Břeclav, a.s.",49455168,0.68443395641
Statutární město Pardubice,00274046,0.67589448274
Univerzita Jana Evangelisty PURKYNĚ,44555601,0.67495067216
Svaz měst a obcí České republiky,63113074,0.65722331013
Město Litovel,00299138,0.6571462322999999
Regionální rada regionu soudržnosti Jihovýchod,75082241,0.65594544593
MINISTERSTVO ZDRAVOTNICTVÍ,00024341,0.6504574688199999
Regionální rada regionu soudržnosti Severozápad,75082136,0.6369496242799999
Fakultní nemocnice Olomouc,00098892,0.6354513135800001
Statutární město Frýdek-Místek,00296643,0.6327658630000002
"Oblastní nemocnice Kladno, a.s., nemocnice Středočeského kraje",27256537,0.62462893473
Město Sokolov,00259586,0.6222136568999997
Státní fond rozvoje bydlení,70856788,0.609869489
MASARYKŮV ONKOLOGICKÝ ÚSTAV,00209805,0.60724545752
"Krajská nemocnice Liberec, a.s.",27283933,0.6011123084500001
"Unipetrol výzkumně vzdělávací centrum, a.s.",62243136,0.58726071181
"Elektrárny Opatovice, a.s.",28800621,0.58280647058
VÝZKUMNÝ A ŠLECHTITELSKÝ ÚSTAV OVOCNÁŘSKÝ HOLOVOUSY s.r.o.,25271121,0.58136706496
Techmania Science Center o.p.s.,26396645,0.57190001401
Regionální rada regionu soudržnosti Jihozápad,75086999,0.5625718090199998
Město Příbram,00243132,0.5605717733000001
"TEPVOS, spol. s r.o.",25945793,0.55658742842
Město Litoměřice,00263958,0.5551910656800001
Univerzita Hradec Králové,62690094,0.54783569369
"Lovochemie, a.s.",49100262,0.53901161096
Město Trutnov,00278360,0.53816272425
CESNET - ZÁJMOVÉ SDRUŽENÍ PRÁVNICKÝCH OSOB,63839172,0.53479797182
Regionální rada regionu soudržnosti Střední Čechy,75082314,0.5339106148799999
Město Litomyšl,00276944,0.5337471107
"Dopravní podnik měst Liberce a Jablonce nad Nisou, a.s.",47311975,0.53339335995
Česká geologická služba,00025798,0.53128915587
město Cheb,00253979,0.5267667342
"Centrum dopravního výzkumu, v.v.i.",44994575,0.52588735956
"Letiště Ostrava, a.s.",26827719,0.52084999263
Evropská investiční banka,00000000,0.50692
Statutární město  Mladá Boleslav,00238295,0.50358809226
Kanonie premonstrátů Teplá,00479365,0.49698366384
Český hydrometeorologický ústav,00020699,0.4922550081
"Krajská nemocnice T. Bati, a. s.",27661989,0.48956772056
Regionální rada regionu soudržnosti Severovýchod,75082721,0.4870906408900001
"Vodohospodářská společnost Vrchlice - Maleč, a.s.",46356967,0.48656724058
"Ústav přístrojové techniky AV ČR, v. v. i.",68081731,0.48423264439999997
MĚSTO KADAŇ,00261912,0.48401998986
Regionální rada regionu soudržnosti Střední Morava,75084911,0.47824832067
"Lesy České republiky, s.p.",42196451,0.47575614866999993
COMTES FHT a.s.,26316919,0.46734830758999996
Veterinární a farmaceutická univerzita Brno,62157124,0.4666285464400001
Centrum pro regionální rozvoj ČR,65993870,0.46416289755
Město Třebíč,00290629,0.46147973075999993
"Multifunkční centrum zámek Lednice, zájmové sdružení právnických osob",75122979,0.455869986
"Synthesia, a.s.",60108916,0.45487832035000003
"Dopravní podnik města Olomouce, a.s.",47676639,0.45000207854
Agentura ochrany přírody a krajiny České republiky,62933591,0.44927160969999996
"Terezín - město změny, zájmové sdružení právnických osob",72045230,0.44399030030000003
PrimeCell Therapeutics a.s.,27660320,0.442950942
Dopravní podnik města Ústí nad Labem a.s.,25013891,0.43941806635
Město Žatec,00265781,0.43438037005
Svaz vodovodů a kanalizací Žďársko,43383513,0.43355098298
"CGMC, družstvo",28094468,0.433478796
",,Svazek vodovodů a kanalizací"" měst a obcí",49468952,0.42933934523
Město Jindřichův Hradec,00246875,0.42819821865
"Výzkumný ústav veterinárního lékařství, v. v. i.",00027162,0.42423640483999997
"Vodovody a kanalizace Pardubice, a.s.",60108631,0.42115124882000005
Bammer trade a.s.,28522761,0.418855
Město Vlašim,00232947,0.41852379603999995
Střední průmyslová škola Ostrov,70845425,0.41431435745
"CHEVAK Cheb, a.s.",49787977,0.41064434997000004
"Nemocnice Strakonice, a.s.",26095181,0.40994717886000004
Město Český Těšín,00297437,0.40780302786000006
Římskokatolická farnost Velehrad,46956484,0.40767244998
"IQLANDIA, o.p.s.",25444565,0.40679435775
Statutární město Přerov,00301825,0.40671252579000006
Správa Krkonošského národního parku Vrchlabí,00088455,0.4018743964999999
Fakultní nemocnice v Motole,00064203,0.40132073056000006
"Oblastní nemocnice Příbram, a.s.",27085031,0.39855827183
